Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR,baseruns_a
Angels,26,34,12,288,60,525.1,8.96,3.41,1.40,0.287,65.5%,39.4%,14.0%,88.7,5.09,4.49,4.60,4.9,291
Astros,29,31,16,253,60,524.0,9.03,3.73,1.20,0.288,71.5%,44.2%,14.0%,88.3,4.31,4.33,4.43,6.0,271
Athletics,36,24,17,241,60,515.1,8.84,2.88,1.21,0.285,75.6%,41.2%,12.3%,88.8,3.77,4.02,4.38,7.7,245
Blue Jays,32,28,17,286,60,524.2,8.90,4.29,1.39,0.302,70.3%,43.1%,14.9%,88.4,4.63,4.73,4.72,2.7,311
Braves,35,25,13,288,60,524.1,8.69,3.78,1.18,0.294,70.6%,43.7%,13.2%,87.7,4.46,4.42,4.63,4.2,285
Brewers,29,31,14,249,60,517.1,10.68,3.29,1.17,0.296,70.5%,46.6%,15.2%,86.8,4.18,3.80,3.76,9.1,245
Cardinals,30,28,13,234,58,473.0,8.83,3.88,1.31,0.250,74.0%,44.4%,15.4%,88.6,3.92,4.58,4.52,3.9,215
Cubs,34,26,16,248,60,518.1,9.08,3.16,1.28,0.278,75.0%,45.0%,16.0%,88.4,3.99,4.18,4.04,6.6,247
Diamondbacks,25,35,13,260,60,518.1,9.10,4.08,1.61,0.294,74.0%,38.4%,15.7%,89.3,4.84,5.00,4.87,1.8,322
Dodgers,43,17,15,309,60,538.2,8.64,2.42,1.10,0.252,75.8%,46.3%,13.2%,87.7,3.02,3.79,3.99,8.6,210
Giants,29,31,13,296,60,517.2,8.48,3.65,1.20,0.281,67.8%,38.8%,12.1%,88.0,4.64,4.45,4.84,3.9,277
Indians,35,25,20,241,60,536.0,10.43,2.64,1.14,0.285,78.5%,40.5%,13.4%,87.6,3.29,3.55,3.73,11.3,225
Mariners,27,33,15,249,60,516.2,8.17,4.01,1.38,0.281,69.9%,40.3%,13.5%,89.2,5.03,4.91,5.11,3.7,297
Marlins,31,29,18,275,60,504.0,8.05,4.04,1.46,0.297,70.6%,45.2%,15.7%,88.9,4.86,5.02,4.90,2.2,310
Mets,26,34,11,257,60,513.1,10.06,3.84,1.42,0.316,69.9%,41.7%,15.8%,87.9,5.01,4.46,4.33,5.3,312
Nationals,26,34,12,262,60,503.2,9.08,3.86,1.68,0.317,74.1%,37.9%,16.3%,89.4,5.09,5.02,4.80,3.0,336
Orioles,25,35,11,267,60,518.2,8.45,3.33,1.37,0.282,69.7%,42.6%,14.6%,89.5,4.51,4.60,4.63,6.0,281
Padres,37,23,13,278,60,520.1,9.77,2.94,1.21,0.290,74.0%,42.5%,14.1%,88.5,3.87,3.88,3.97,8.2,241
Phillies,28,32,11,249,60,497.0,9.63,3.35,1.45,0.343,69.4%,46.6%,18.6%,88.1,5.20,4.43,4.00,6.2,323
Pirates,19,41,6,269,60,513.0,9.40,4.37,1.40,0.280,70.2%,43.4%,16.2%,88.5,4.68,4.80,4.63,2.7,282
Rangers,22,38,10,264,60,516.2,8.52,4.11,1.41,0.277,68.6%,40.6%,14.0%,88.5,5.02,4.88,5.00,2.4,291
Rays,40,20,23,279,60,527.2,9.42,2.87,1.19,0.291,77.2%,45.1%,14.9%,87.5,3.56,3.94,3.94,7.3,248
Red Sox,24,36,14,292,60,524.0,9.22,4.33,1.68,0.332,70.8%,42.9%,18.9%,88.9,5.58,5.19,4.67,-0.1,373
Reds,31,29,9,228,60,504.0,10.98,3.80,1.20,0.278,72.8%,43.2%,14.6%,87.4,3.89,3.92,3.95,9.7,230
Rockies,26,34,16,249,60,526.1,6.72,3.51,1.42,0.307,66.5%,44.5%,15.0%,89.4,5.59,5.14,5.13,3.5,349
Royals,26,34,19,292,60,517.0,9.00,3.67,1.32,0.303,73.9%,44.4%,15.0%,89.2,4.30,4.50,4.47,4.1,277
Tigers,23,35,11,276,58,492.1,8.12,3.51,1.66,0.297,68.7%,42.2%,17.1%,89.6,5.63,5.17,4.85,1.9,316
Twins,36,24,17,262,60,513.1,9.38,2.98,1.09,0.288,76.8%,40.8%,12.1%,87.8,3.58,3.79,4.15,9.8,230
White Sox,35,25,13,284,60,527.0,8.93,3.71,1.21,0.269,75.1%,44.2%,14.5%,88.1,3.81,4.32,4.36,6.1,242
Yankees,33,27,14,234,60,500.2,9.49,3.02,1.49,0.280,71.1%,42.9%,16.0%,88.2,4.35,4.39,4.24,6.1,261
