"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Jacob deGrom","NYM","15","7","0","0","2.81","32","32","204.0","155","64","22","266","49","1.00","11.74","2.17","2.85","6.3","4.4","10954"
"Gerrit Cole","NYY","16","8","0","0","3.40","32","32","200.0","161","75","29","265","54","1.08","11.93","2.45","3.37","5.5","7.3","13125"
"Shane Bieber","CLE","14","9","0","0","3.40","31","31","192.0","167","73","25","234","41","1.08","10.93","1.93","3.21","5.1","9.9","19427"
"Max Scherzer","WSN","13","7","0","0","3.42","29","29","178.0","148","68","26","234","48","1.10","11.80","2.40","3.41","4.7","24.8","3137"
"Trevor Bauer","LAD","15","8","0","0","3.50","31","31","192.0","163","75","24","225","62","1.17","10.55","2.90","3.63","4.4","15.4","12703"
"Lucas Giolito","CHW","13","8","0","0","3.51","29","29","174.0","137","68","24","223","59","1.13","11.54","3.08","3.55","4.2","17.0","15474"
"Aaron Nola","PHI","13","9","0","0","3.62","31","31","188.0","162","76","24","218","63","1.19","10.45","3.00","3.64","4.2","21.8","16149"
"Luis Castillo","CIN","13","9","0","0","3.59","31","31","183.0","156","73","22","214","65","1.21","10.57","3.22","3.59","4.2","28.0","15689"
"Walker Buehler","LAD","12","6","0","0","3.32","29","29","167.0","137","62","21","205","48","1.10","11.05","2.56","3.38","4.2","21.9","19374"
"Yu Darvish","SDP","13","8","0","0","3.46","31","31","184.0","151","71","24","226","56","1.12","11.03","2.72","3.51","4.1","16.6","13074"
"Stephen Strasburg","WSN","11","8","0","0","3.74","28","28","164.0","150","68","21","179","48","1.21","9.81","2.63","3.71","4.0","68.9","10131"
"Clayton Kershaw","LAD","14","7","0","0","3.36","29","29","174.0","154","65","24","188","38","1.10","9.71","1.97","3.55","3.7","32.3","2036"
"German Marquez","COL","12","10","0","0","4.42","31","31","186.0","193","91","28","195","52","1.32","9.46","2.51","3.99","3.7","195.3","15038"
"Brandon Woodruff","MIL","10","7","0","0","3.59","31","31","154.0","133","61","19","180","48","1.17","10.54","2.78","3.58","3.7","32.2","16162"
"Patrick Corbin","WSN","13","9","0","0","4.01","31","31","187.0","184","83","26","195","59","1.30","9.40","2.82","3.96","3.7","135.6","9323"
"Jack Flaherty","STL","12","9","0","0","3.47","31","31","176.0","143","68","23","213","57","1.14","10.90","2.91","3.62","3.6","31.9","17479"
"Hyun-Jin Ryu","TOR","12","8","0","0","3.80","29","29","173.0","171","73","24","160","41","1.22","8.28","2.10","3.94","3.3","69.1","14444"
"Kevin Gausman","SFG","11","9","0","0","3.83","29","29","170.0","157","72","21","182","49","1.21","9.68","2.58","3.64","3.3","136.7","14107"
"Tyler Glasnow","TBR","11","8","0","0","3.69","28","28","155.0","123","64","21","206","64","1.20","11.93","3.69","3.62","3.3","43.8","14374"
"Charlie Morton","ATL","12","7","0","0","3.72","29","29","161.0","146","67","19","175","53","1.24","9.77","2.95","3.75","3.3","111.5","4676"
"Joe Musgrove","SDP","13","9","0","0","3.87","29","29","164.0","152","70","23","167","43","1.19","9.18","2.34","3.90","3.2","119.2","12970"
"Zack Wheeler","PHI","11","8","0","0","4.07","29","29","180.0","174","81","25","173","51","1.25","8.63","2.53","4.08","3.2","99.9","10310"
"Sonny Gray","CIN","11","8","0","0","3.86","28","28","154.0","135","66","19","173","62","1.28","10.09","3.61","3.90","3.1","86.8","12768"
"Blake Snell","SDP","12","7","0","0","3.43","28","28","146.0","118","56","18","179","57","1.20","11.05","3.50","3.55","3.1","40.7","13543"
"Lance Lynn","CHW","12","10","0","0","4.09","31","31","190.0","175","86","31","206","64","1.26","9.77","3.04","4.30","3.1","54.8","2520"
"Jose Berrios","MIN","12","10","0","0","4.08","29","29","174.0","162","79","25","179","56","1.25","9.29","2.90","4.14","3.0","80.2","14168"
"Andrew Heaney","LAA","10","8","0","0","4.14","29","29","168.0","155","77","28","180","47","1.20","9.63","2.51","4.22","3.0","227.0","15423"
"Kyle Hendricks","CHC","11","10","0","0","4.17","29","29","178.0","182","82","26","149","39","1.24","7.53","1.95","4.22","2.8","79.4","12049"
"Marco Gonzales","SEA","11","12","0","0","4.32","29","29","176.0","183","85","27","142","44","1.29","7.25","2.23","4.48","2.8","181.8","15467"
"Corbin Burnes","MIL","8","6","0","0","3.76","26","26","128.0","109","54","16","155","50","1.24","10.89","3.52","3.74","2.7","53.3","19361"
"Dinelson Lamet","SDP","9","5","0","0","3.50","23","23","123.0","97","48","15","162","48","1.17","11.82","3.48","3.49","2.7","111.3","17186"
"Zack Greinke","HOU","12","9","0","0","4.05","31","31","186.0","182","84","31","172","40","1.19","8.31","1.95","4.25","2.7","102.4","1943"
"Marcus Stroman","NYM","11","8","0","0","3.87","28","28","163.0","159","70","19","140","55","1.31","7.72","3.03","4.09","2.6","190.5","13431"
"Kenta Maeda","MIN","10","8","0","0","4.22","29","29","144.0","132","68","22","155","48","1.25","9.70","2.98","4.17","2.6","47.5","18498"
"James Paxton","SEA","9","7","0","0","3.85","24","24","130.0","114","56","19","148","43","1.21","10.26","2.97","3.88","2.6","215.4","11828"
"Corey Kluber","NYY","11","8","0","0","4.10","26","26","155.0","148","71","26","156","40","1.21","9.04","2.31","4.22","2.6","167.1","2429"
"Max Fried","ATL","11","7","0","0","3.90","29","29","144.0","139","62","16","142","53","1.34","8.92","3.30","3.90","2.6","68.7","13743"
"Eduardo Rodriguez","BOS","11","9","0","0","4.33","28","28","163.0","158","79","23","168","62","1.35","9.27","3.39","4.22","2.6","217.6","13164"
"Robbie Ray","TOR","10","9","0","0","4.22","29","29","158.0","131","74","25","206","83","1.35","11.76","4.73","4.35","2.6","294.5","11486"
"Mike Minor","KCR","10","11","0","0","4.41","29","29","176.0","171","86","27","156","54","1.28","8.00","2.77","4.49","2.6","303.7","10021"
"Matthew Boyd","DET","10","11","0","0","4.51","29","29","166.0","160","83","29","175","51","1.27","9.50","2.78","4.44","2.5","311.9","15440"
"Lance McCullers Jr.","HOU","10","8","0","0","3.85","26","26","144.0","130","61","17","153","54","1.28","9.58","3.35","3.96","2.5","114.2","14120"
"Dallas Keuchel","CHW","12","11","0","0","4.30","31","31","183.0","189","87","25","141","59","1.36","6.90","2.90","4.51","2.5","217.8","9434"
"Jesus Luzardo","OAK","8","7","0","0","3.82","26","26","127.0","116","54","18","132","41","1.23","9.37","2.86","4.03","2.4","96.4","19959"
"Sixto Sanchez","","8","8","0","0","3.86","24","24","136.0","131","58","15","122","41","1.27","8.09","2.74","3.95","2.4","134.2","19680"
"Pablo Lopez","MIA","10","9","0","0","3.97","28","28","148.0","140","65","19","143","45","1.25","8.64","2.71","4.01","2.4","130.2","17085"
"Zac Gallen","ARI","9","7","0","0","3.87","23","23","129.0","115","55","18","149","45","1.24","10.39","3.15","3.91","2.4","72.1","19291"
"Chris Sale","BOS","6","4","0","0","3.42","15","15","86.0","72","33","11","108","22","1.09","11.28","2.26","3.29","2.3","357.7","10603"
"Michael Pineda","MIN","9","9","0","0","4.62","28","28","154.0","162","79","27","139","37","1.29","8.11","2.16","4.51","2.3","235.6","5372"
"Dylan Bundy","LAA","11","10","0","0","4.52","29","29","171.0","162","86","30","173","53","1.26","9.13","2.81","4.57","2.3","120.1","12917"
"Jon Gray","COL","9","10","0","0","5.19","28","28","153.0","171","88","26","142","53","1.47","8.36","3.14","4.70","2.2","562.2","14916"
