"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"CHW","93","69","43","674","162","1403.1","10.18","3.11","1.17",".288","74.4%","41.2%","12.8%","95.5","3.73","","3.74","3.85","27.1"
"LAD","106","56","56","762","162","1452.0","9.91","3.01","1.00",".260","76.5%","44.5%","11.8%","94.1","3.03","","3.54","3.75","26.9"
"MIL","95","67","44","695","162","1436.0","10.14","3.37","1.05",".275","74.7%","44.5%","13.3%","93.2","3.50","","3.72","3.75","23.6"
"NYY","92","70","47","674","162","1435.1","9.84","3.08","1.23",".284","74.0%","41.9%","12.9%","94.9","3.76","","3.90","4.00","22.3"
"SFG","107","55","56","761","162","1455.0","8.81","2.57","0.93",".279","74.9%","45.6%","10.9%","93.7","3.25","","3.55","3.87","21.9"
"BOS","92","70","49","725","162","1419.0","9.68","3.46","1.12",".323","71.9%","44.2%","12.6%","94.8","4.27","","3.95","4.07","19.2"
"TBR","100","62","42","693","162","1455.2","9.14","2.70","1.14",".281","73.7%","41.5%","12.3%","94.1","3.67","","3.79","3.97","18.7"
"PHI","82","80","36","687","162","1418.2","9.39","3.23","1.27",".296","71.4%","45.4%","14.7%","94.1","4.39","","4.15","4.02","17.9"
"HOU","95","67","34","674","162","1445.0","9.07","3.42","1.16",".275","75.1%","44.7%","13.6%","93.2","3.80","","4.12","4.12","16.9"
"NYM","77","85","41","705","162","1379.1","9.48","3.10","1.24",".287","73.2%","42.5%","13.9%","94.5","3.90","","4.04","3.99","16.4"
"CIN","83","79","41","741","162","1434.1","9.56","3.87","1.29",".297","72.6%","44.2%","14.8%","94.3","4.41","","4.34","4.18","16.2"
"ATL","88","73","40","742","161","1410.2","9.04","3.29","1.17",".280","74.4%","43.7%","13.5%","94.3","3.89","","4.09","4.09","16.0"
"LAA","77","85","39","724","162","1421.2","9.20","3.75","1.19",".305","69.6%","44.5%","13.5%","92.9","4.69","","4.25","4.26","15.4"
"OAK","86","76","39","666","162","1433.0","8.37","2.76","1.20",".290","73.7%","40.3%","11.8%","93.2","4.02","","4.10","4.35","15.1"
"MIA","67","95","33","757","162","1415.0","8.78","3.36","1.03",".290","71.6%","44.6%","12.0%","93.8","3.96","","4.01","4.21","15.1"
"TOR","91","71","34","698","162","1405.1","9.40","3.03","1.34",".284","75.5%","43.0%","14.5%","93.5","3.91","","4.18","4.06","14.6"
"SEA","90","72","51","746","162","1440.1","8.30","3.03","1.23",".288","71.1%","40.5%","12.1%","93.2","4.30","","4.26","4.47","14.3"
"COL","74","87","33","704","161","1397.0","8.18","3.47","1.26",".302","69.8%","44.8%","14.3%","94.5","4.83","","4.47","4.38","13.3"
"SDP","79","83","43","786","162","1430.0","9.55","3.25","1.29",".287","73.6%","42.8%","14.3%","94.4","4.10","","4.18","4.08","12.8"
"KCR","74","88","37","718","162","1417.1","8.53","3.75","1.20",".301","70.3%","42.2%","12.6%","94.0","4.64","","4.39","4.52","12.5"
"STL","90","72","50","718","162","1417.0","7.78","3.86","0.97",".272","73.2%","43.7%","10.8%","93.4","4.00","","4.30","4.66","12.1"
"CLE","80","82","39","697","162","1408.0","8.89","3.34","1.38",".282","72.8%","42.6%","14.7%","93.9","4.34","","4.43","4.27","10.2"
"DET","77","85","42","739","162","1419.2","7.98","3.62","1.26",".289","72.6%","44.5%","13.2%","94.1","4.32","","4.60","4.65","10.2"
"MIN","73","89","42","691","162","1419.1","8.35","3.07","1.52",".290","68.9%","41.0%","15.0%","92.2","4.83","","4.66","4.44","8.2"
"BAL","52","110","26","731","162","1402.0","7.92","3.61","1.66",".305","66.7%","39.7%","15.1%","92.9","5.85","","5.15","4.91","7.9"
"WSN","65","97","36","731","162","1394.1","8.69","3.54","1.59",".289","71.0%","41.0%","16.0%","93.3","4.82","","4.87","4.53","6.5"
"PIT","61","101","25","745","162","1396.1","8.46","3.91","1.37",".302","70.1%","40.9%","13.8%","93.4","5.08","","4.74","4.70","5.0"
"CHC","71","91","40","761","162","1412.2","8.65","3.80","1.50",".294","70.9%","44.8%","17.2%","93.0","4.88","","4.88","4.43","4.9"
"TEX","60","102","31","669","162","1424.1","7.83","3.24","1.47",".288","70.3%","42.4%","14.9%","93.6","4.80","","4.76","4.57","4.5"
"ARI","52","110","22","727","162","1417.1","7.86","3.52","1.47",".299","68.2%","40.2%","13.8%","92.2","5.15","","4.88","4.85","4.0"
