tm,team,team_name,league,division
LAA,Angels,Los Angeles Angels,AL,West
LAA,Angels,LA Angels,AL,West
LAA,Angels,Los Angeles Angels of Anaheim,AL,West
HOU,Astros,Houston Astros,AL,West
OAK,Athletics,Oakland Athletics,AL,West
TOR,Blue Jays,Toronto Blue Jays,AL,East
ATL,Braves,Atlanta Braves,NL,East
MIL,Brewers,Milwaukee Brewers,NL,Central
STL,Cardinals,St. Louis Cardinals,NL,Central
CHC,Cubs,Chicago Cubs,NL,Central
ARI,Diamondbacks,Arizona Diamondbacks,NL,West
LAD,Dodgers,Los Angeles Dodgers,NL,West
LAD,Dodgers, LA Dodgers,NL,West
SFG,Giants,San Francisco Giants,NL,West
CLE,Indians,Cleveland Indians,AL,Central
CLE,Cleveland,Cleveland Guardians,AL,Central
CLE,Guardians,Cleveland Guardians,AL,Central
SEA,Mariners,Seattle Mariners,AL,West
MIA,Marlins,Miami Marlins,NL,East
NYM,Mets,New York Mets,NL,East
WSN,Nationals,Washington Nationals,NL,East
BAL,Orioles,Baltimore Orioles,AL,East
SDP,Padres,San Diego Padres,NL,West
PHI,Phillies,Philadelphia Phillies,NL,East
PIT,Pirates,Pittsburgh Pirates,NL,Central
TEX,Rangers,Texas Rangers,AL,West
TBR,Rays,Tampa Bay Rays,AL,East
BOS,Red Sox,Boston Red Sox,AL,East
CIN,Reds,Cincinnati Reds,NL,Central
COL,Rockies,Colorado Rockies,NL,West
KCR,Royals,Kansas City Royals,AL,Central
DET,Tigers,Detroit Tigers,AL,Central
MIN,Twins,Minnesota Twins,AL,Central
CHW,White Sox,Chicago White Sox,AL,Central
NYY,Yankees,New York Yankees,AL,East
