"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","156","672","523","163","29","3","36","117","115","140","100","4","12","5","",".312",".457",".584","1.042",".433","","-0.1","-0.8","","7.4","","4.5","20123"
"Mike Trout","LAA","147","637","508","138","26","3","39","105","105","112","149","12","10","2","",".273",".412",".564",".976",".406","","0.4","1.1","","6.5","","13.8","10155"
"José Ramírez","CLE","154","665","573","155","37","4","35","103","108","79","95","7","26","6","",".271",".363",".533",".896",".375","","2.2","2.7","","6.2","","3.7","13510"
"Vladimir Guerrero Jr.","TOR","154","665","577","176","31","2","45","114","118","78","101","5","3","1","",".305",".391",".597",".988",".413","","-0.3","-1.2","","5.9","","5.9","19611"
"Aaron Judge","NYY","151","651","559","154","25","0","40","99","107","81","171","5","5","2","",".275",".369",".537",".906",".383","","7.5","-0.2","","5.9","","35.2","15640"
"Mookie Betts","LAD","156","672","574","160","34","3","30","114","83","82","103","8","18","5","",".279",".374",".504",".878",".373","","9.5","1.9","","5.8","","15.9","13611"
"Trea Turner","LAD","154","665","605","179","33","4","27","103","87","48","116","6","30","7","",".296",".351",".496",".847",".360","","-2.6","3.9","","5.4","","1.6","16252"
"Ronald Acuña Jr.","ATL","131","567","476","134","25","2","36","105","84","75","138","10","23","8","",".281",".387",".566",".953",".401","","1.5","1.7","","5.4","","9.1","18401"
"Alex Bregman","HOU","146","630","529","143","34","1","26","91","93","87","84","8","3","1","",".271",".379",".489",".868",".371","","-0.6","-0.8","","5.3","","87.7","17678"
"Carlos Correa","","147","637","555","154","32","1","28","90","96","70","122","5","1","0","",".276",".359",".489",".848",".361","","2.0","0.1","","5.3","","101.1","14162"
"Wander Franco","TBR","149","644","584","167","32","9","19","93","84","49","83","5","10","6","",".286",".343",".471",".815",".348","","1.8","-0.6","","5.1","","57.6","23667"
"Corey Seager","TEX","139","602","533","155","34","3","26","91","89","58","99","5","4","1","",".291",".363",".510",".873",".371","","-3.1","0.4","","5.0","","79.3","13624"
"Bryce Harper","PHI","156","672","545","147","34","1","36","104","106","114","155","6","14","4","",".270",".399",".538",".937",".392","","-1.8","-0.9","","5.0","","9.7","11579"
"Kyle Tucker","HOU","147","637","570","161","35","4","32","94","104","58","114","4","19","4","",".283",".350",".528",".878",".369","","3.2","1.6","","5.0","","12.8","18345"
