"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","152","661","519","162","30","3","36","113","104","134","101","4","11","5","",".313",".454",".587","1.041",".438","174","","7.5","","3.7","","2.51","0.73","0.99","20123"
"Mike Trout","LAA","136","587","476","134","25","3","37","98","95","97","139","10","7","2","",".281",".410",".578",".988",".412","164","","6.5","","12.7","","3.28","-1.31","0.74","10155"
"José Ramírez","CLE","148","633","551","149","35","4","35","100","100","71","90","6","25","6","",".271",".358",".538",".896",".376","140","","5.9","","3.1","","3.15","0.63","0.84","13510"
"Mookie Betts","LAD","146","657","565","158","34","3","31","112","87","79","100","8","14","5","",".280",".373",".513",".886",".376","138","","5.8","","14.9","","3.24","-0.33","0.66","13611"
"Vladimir Guerrero Jr.","TOR","152","650","568","173","32","2","41","107","109","74","101","6","3","2","",".305",".389",".584",".973",".409","159","","5.6","","4.7","","4.07","-0.06","1.44","19611"
"Trea Turner","LAD","147","650","594","180","34","4","26","108","86","47","110","5","32","6","",".303",".357",".506",".863",".367","132","","5.6","","1.3","","4.07","0.97","1.48","16252"
"Aaron Judge","NYY","145","625","541","149","25","1","38","97","98","76","166","5","5","2","",".276",".369",".537",".906",".382","142","","5.3","","36.2","","1.90","-1.70","0.96","15640"
"Bryce Harper","PHI","150","646","528","146","32","2","37","104","101","106","145","6","14","4","",".277",".400",".555",".956",".400","150","","5.3","","8.2","","3.38","1.64","0.48","11579"
"Freddie Freeman","LAD","152","664","570","169","34","2","32","106","98","84","107","7","6","3","",".296",".392",".530",".922",".390","147","","5.1","","18.1","","2.26","-0.71","1.02","5361"
"Ronald Acuña Jr.","ATL","122","538","457","128","25","2","33","99","81","68","135","9","19","7","",".281",".383",".562",".945",".398","147","","5.1","","13.5","","6.24","-0.27","0.53","18401"
"Rafael Devers","BOS","150","648","584","164","37","2","38","101","105","55","137","6","5","3","",".281",".347",".547",".894",".376","136","","4.8","","13.6","","2.55","-0.72","1.04","17350"
