"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","156","672","521","163","29","3","36","121","113","140","100","4","12","5","",".313",".458",".588","1.046",".435","","-0.1","-0.8","","7.5","","3.7","20123"
"Mike Trout","LAA","149","644","513","140","26","3","40","106","107","113","151","12","10","2","",".273",".412",".566",".979",".407","","-1.9","1.1","","7.0","","12.7","10155"
"José Ramírez","CLE","154","665","573","155","37","4","36","103","109","79","95","7","25","6","",".271",".363",".536",".899",".376","","2.2","2.7","","6.2","","3.1","13510"
"Aaron Judge","NYY","151","651","559","153","25","0","41","99","107","81","171","5","5","2","",".275",".369",".539",".908",".384","","7.6","-0.2","","6.0","","36.2","15640"
"Vladimir Guerrero Jr.","TOR","154","665","577","176","31","2","45","114","119","79","101","5","3","1","",".305",".391",".598",".989",".413","","-0.2","-1.2","","5.9","","4.7","19611"
"Mookie Betts","LAD","156","672","574","160","34","3","30","115","84","82","103","8","18","5","",".279",".374",".505",".879",".374","","9.6","1.9","","5.9","","14.9","13611"
"Ronald Acuña Jr.","ATL","134","581","488","137","26","2","37","109","87","77","142","10","24","8","",".281",".388",".571",".959",".402","","1.4","1.9","","5.7","","13.5","18401"
"Trea Turner","LAD","154","665","606","180","34","4","27","101","91","48","116","6","30","7","",".296",".351",".499",".851",".362","","-2.6","3.9","","5.5","","1.3","16252"
"Carlos Correa","MIN","147","637","555","153","34","1","27","90","93","70","120","5","1","0","",".276",".359",".488",".847",".361","","2.0","0.1","","5.4","","98.8","14162"
"Alex Bregman","HOU","146","630","529","143","34","1","26","92","93","88","84","8","3","1","",".271",".380",".490",".870",".372","","-0.6","-0.8","","5.3","","88.6","17678"
"Wander Franco","TBR","149","644","582","166","33","9","20","94","85","50","84","5","9","6","",".286",".345",".476",".820",".350","","1.8","-0.6","","5.2","","59.3","23667"
"Kyle Tucker","HOU","147","637","569","161","36","4","33","95","106","58","114","4","19","4","",".283",".351",".533",".884",".372","","3.2","1.7","","5.1","","12.2","18345"
"Bryce Harper","PHI","156","672","545","148","34","1","37","105","107","114","155","6","14","4","",".271",".399",".540",".939",".393","","-1.9","-0.9","","5.1","","8.2","11579"
"Corey Seager","TEX","139","602","533","155","34","3","26","91","89","58","99","5","4","1","",".291",".363",".510",".873",".371","","-3.1","0.4","","5.0","","78.9","13624"
"Bo Bichette","TOR","152","658","604","174","35","2","29","103","98","44","123","5","21","5","",".289",".340",".500",".840",".357","","-1.3","1.9","","4.9","","4.5","19612"
"Byron Buxton","MIN","131","567","524","141","36","3","32","86","87","29","138","7","18","4","",".269",".314",".533",".847",".355","","7.2","2.4","","4.9","","42.5","14161"
"Marcus Semien","TEX","154","665","590","155","32","2","30","97","82","66","124","3","12","4","",".263",".338",".478",".816",".349","","4.3","1.1","","4.9","","39.8","12533"
"Francisco Lindor","NYM","152","658","582","150","30","3","29","93","88","62","114","6","15","6","",".258",".333",".467",".801",".340","","4.9","0.0","","4.9","","52.8","12916"
"Matt Olson","ATL","154","665","565","153","30","0","44","102","125","85","137","9","3","1","",".270",".372",".557",".928",".387","","5.0","-0.8","","4.9","","35.8","14344"
"Luis Robert","CHW","149","644","588","165","32","4","30","90","91","40","153","10","17","6","",".281",".334",".502",".836",".354","","2.5","0.8","","4.8","","15.8","20043"
"Freddie Freeman","LAD","156","672","577","169","32","2","33","108","102","82","115","7","6","3","",".293",".385",".527",".911",".382","","1.9","-0.3","","4.8","","18.1","5361"
"Rafael Devers","BOS","154","665","597","168","39","2","37","103","112","57","138","6","6","4","",".282",".348",".541",".889",".373","","-4.5","0.0","","4.7","","13.6","17350"
"Manny Machado","SDP","156","672","595","164","30","2","32","93","104","66","111","4","11","4","",".275",".348",".494",".842",".354","","1.9","-0.4","","4.7","","22.6","11493"
"Yasmani Grandal","CHW","133","532","429","101","18","1","26","72","76","93","130","5","1","1","",".235",".373",".462",".836",".362","","1.1","-2.7","","4.7","","102.0","11368"
"Brandon Lowe","TBR","143","616","538","132","29","2","35","89","96","64","172","9","7","2","",".246",".333",".501",".834",".353","","-0.6","1.3","","4.6","","77.8","18882"
"Xander Bogaerts","BOS","154","665","587","165","39","1","26","91","95","68","122","4","7","2","",".282",".358",".488",".846",".361","","-4.7","0.6","","4.6","","46.3","12161"
"Trevor Story","BOS","152","658","585","151","37","5","27","92","87","59","164","9","22","7","",".258",".332",".477",".809",".344","","6.5","1.6","","4.5","","33.5","12564"
"Yordan Alvarez","HOU","144","623","550","157","34","1","39","96","119","62","148","6","2","1","",".285",".362",".565",".927",".388","","0.0","-0.4","","4.5","","25.1","19556"
"Nolan Arenado","STL","156","672","604","159","31","2","32","86","103","57","101","4","2","1","",".263",".328",".479",".807",".339","","6.0","0.0","","4.3","","70.1","9777"
"Joey Gallo","NYY","147","637","520","108","18","1","43","96","105","106","229","7","6","2","",".207",".348",".496",".844",".358","","4.0","0.9","","4.2","","181.6","14128"
"Ozzie Albies","ATL","154","665","607","166","37","6","27","101","91","47","117","4","18","5","",".274",".328",".488",".817",".346","","3.5","2.5","","4.2","","17.6","16556"
"George Springer","TOR","147","637","555","146","27","2","34","102","91","68","135","8","7","3","",".262",".349",".506",".855",".363","","-2.0","-0.1","","4.2","","57.3","12856"
"Anthony Rendon","LAA","136","588","505","138","32","1","22","79","86","69","90","8","2","0","",".273",".366",".471",".836",".358","","0.3","0.2","","4.1","","110.0","12861"
"Fernando Tatis Jr.","SDP","83","357","311","90","18","1","27","65","67","40","89","3","17","4","",".290",".373",".613",".987",".408","","-0.9","2.1","","4.1","","62.8","19709"
"Matt Chapman","TOR","151","651","564","130","27","4","33","89","93","73","190","7","3","2","",".231",".324",".465",".789",".338","","8.0","0.0","","4.1","","170.6","16505"
"Pete Alonso","NYM","151","651","565","147","26","2","43","93","114","67","147","14","2","1","",".260",".351",".543",".894",".374","","-0.2","-1.8","","4.1","","45.8","19251"
"Will Smith","LAD","125","501","426","107","21","2","28","71","83","57","108","11","3","0","",".252",".351",".504",".856",".362","","0.9","-0.7","","4.1","","53.7","19197"
