"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Juan Soto","WSN","150","672","522","163","29","2","38","121","106","137","97","5","12","5","",".312",".456",".595","1.050",".435","172","","-0.8","-0.7","","60.9","-8.8","7.4","","3.7","20123"
"Mike Trout","LAA","149","655","526","143","26","3","39","105","105","112","151","11","7","2","",".272",".407",".551",".958",".401","156","","0.5","-4.7","","45.8","-3.7","6.5","","12.7","10155"
"Ronald Acuña Jr.","ATL","134","616","514","147","29","2","40","114","92","83","141","10","28","9","",".286",".392",".580",".972",".407","154","","3.0","-1.1","","45.0","-4.0","6.1","","13.5","18401"
"Vladimir Guerrero Jr.","TOR","150","656","566","173","31","2","46","110","124","78","102","6","3","2","",".306",".392",".612","1.004",".418","165","","-1.5","-0.1","","50.5","-12.8","6.0","","4.7","19611"
"José Ramírez","CLE","150","663","570","153","35","4","35","99","103","80","97","7","23","7","",".268",".361",".527",".888",".373","138","","2.1","1.1","","32.9","3.2","5.9","","3.1","13510"
"Aaron Judge","NYY","150","665","568","155","26","1","41","105","109","84","172","5","5","2","",".273",".369",".539",".909",".384","146","","-0.2","4.6","","37.6","-2.7","5.8","","36.2","15640"
"Mookie Betts","LAD","150","692","589","161","35","3","30","114","87","85","108","8","17","5","",".273",".370",".496",".866",".370","134","","2.1","7.7","","32.1","0.7","5.6","","14.9","13611"
"Wander Franco","TBR","149","651","586","169","34","9","20","87","86","52","81","6","9","4","",".288",".350",".481",".831",".355","131","","0.2","-1.4","","25.0","6.1","5.3","","59.3","23667"
"Carlos Correa","MIN","147","621","538","149","33","1","28","85","88","71","116","6","1","0","",".277",".364",".498",".862",".367","134","","0.1","-1.5","","26.2","5.6","5.3","","98.8","14162"
"Alex Bregman","HOU","146","643","538","144","33","1","27","91","92","91","85","8","2","1","",".268",".379",".486",".865",".370","139","","-1.0","-2.8","","29.7","-0.3","5.1","","88.6","17678"
"Trea Turner","LAD","150","672","606","177","34","3","26","99","96","52","116","6","26","7","",".292",".351",".486",".837",".357","126","","3.4","-3.8","","25.3","3.7","5.1","","1.3","16252"
"Manny Machado","SDP","150","671","591","162","30","2","34","100","100","68","114","5","10","4","",".275",".351",".507",".858",".361","129","","-0.8","1.6","","24.1","3.7","5.0","","22.6","11493"
"Rafael Devers","BOS","150","648","578","162","37","2","37","97","107","56","133","6","6","3","",".280",".348",".542",".890",".373","134","","0.8","-2.7","","27.4","-0.6","4.9","","13.6","17350"
"Luis Robert","CHW","149","636","577","163","34","2","31","91","93","42","142","9","14","5","",".283",".338",".511",".850",".360","130","","0.5","0.8","","23.8","3.3","4.9","","15.8","20043"
"Bo Bichette","TOR","150","668","610","175","37","2","30","100","98","45","124","6","17","6","",".287",".339",".503",".843",".358","124","","0.8","-2.2","","20.6","5.3","4.9","","4.5","19612"
"Corey Seager","TEX","139","610","535","155","33","3","25","88","85","62","100","6","3","1","",".290",".368",".507",".874",".372","139","","0.0","-6.1","","28.9","-1.0","4.9","","78.9","13624"
"Bryce Harper","PHI","150","662","537","145","32","1","36","104","105","112","150","7","12","5","",".269",".399",".536",".934",".391","144","","-1.7","-1.6","","35.3","-9.5","4.8","","8.2","11579"
"Freddie Freeman","LAD","150","675","573","167","32","2","32","110","100","85","110","8","6","3","",".292",".388",".523",".911",".383","142","","-0.1","1.2","","36.4","-11.4","4.7","","18.1","5361"
"Francisco Lindor","NYM","150","667","590","149","29","3","30","90","94","64","115","7","13","5","",".253",".330",".467",".797",".338","117","","-0.2","2.0","","14.3","9.5","4.6","","52.8","12916"
"Matt Olson","ATL","150","660","562","150","27","1","44","104","116","84","134","9","3","1","",".267",".368",".555",".923",".385","139","","-1.0","4.3","","31.8","-8.2","4.5","","35.8","14344"
"Marcus Semien","TEX","150","681","599","154","31","2","30","96","84","68","126","4","11","4","",".258",".335",".465",".800",".343","119","","1.2","2.8","","17.0","5.1","4.5","","39.8","12533"
"Brandon Lowe","TBR","143","626","543","133","28","1","35","90","90","66","168","9","6","2","",".245",".334",".494",".828",".351","129","","1.3","-1.7","","23.4","0.5","4.5","","77.8","18882"
"Yasmani Grandal","CHW","125","529","428","101","18","1","25","73","72","91","126","5","1","1","",".236",".373",".461",".834",".362","132","","-3.0","-1.4","","17.5","5.4","4.5","","102.0","11368"
"Byron Buxton","MIN","131","567","521","140","33","2","31","83","87","32","135","7","15","5","",".269",".317",".521",".838",".353","125","","1.8","4.4","","18.9","6.5","4.5","","42.5","14161"
"Jose Altuve","HOU","147","681","603","169","32","1","27","101","80","62","98","5","8","3","",".280",".351",".471",".822",".352","127","","0.8","-4.1","","23.0","-1.7","4.5","","74.8","5417"
"Kyle Tucker","HOU","147","605","537","150","32","4","33","86","95","57","104","4","14","5","",".278",".349",".535",".884",".371","139","","0.5","0.6","","29.7","-6.7","4.4","","12.2","18345"
"Anthony Rendon","LAA","136","590","505","138","32","1","22","79","83","71","92","8","2","1","",".273",".368",".472",".840",".360","129","","0.1","1.4","","20.9","2.6","4.4","","110.0","12861"
"Xander Bogaerts","BOS","150","649","572","158","37","1","25","87","93","67","120","5","6","2","",".277",".355",".475",".830",".355","122","","0.4","-3.4","","17.5","3.8","4.4","","46.3","12161"
"Nolan Arenado","STL","150","649","582","153","29","2","31","85","99","57","97","5","2","1","",".262",".331",".482",".813",".342","117","","0.2","3.9","","14.6","6.0","4.2","","70.1","9777"
