"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","152","661","525","162","31","3","33","107","97","128","99","4","11","5","",".308",".444",".567","1.010",".422","164","","6.7","","3.7","20123"
"Mike Trout","LAA","136","587","472","134","24","3","39","97","99","100","137","11","7","2","",".285",".418",".597","1.015",".420","170","","6.6","","12.7","10155"
"José Ramírez","CLE","148","633","553","153","35","4","37","98","96","69","90","6","23","6","",".276",".359",".551",".910",".380","143","","6.3","","3.1","13510"
"Trea Turner","LAD","147","650","592","179","32","5","28","108","90","48","113","5","31","7","",".303",".358",".516",".874",".371","135","","5.9","","1.3","16252"
"Mookie Betts","LAD","146","657","565","161","34","3","32","104","97","78","100","8","14","4","",".285",".376",".524",".900",".381","142","","5.5","","14.9","13611"
"Vladimir Guerrero Jr.","TOR","152","650","563","171","32","2","39","102","104","76","98","7","3","1","",".305",".390",".575",".965",".404","155","","5.4","","4.7","19611"
"Bryce Harper","PHI","150","646","527","146","31","2","36","102","98","106","144","6","11","4","",".276",".400",".548",".948",".396","147","","5.2","","8.2","11579"
"Freddie Freeman","LAD","152","664","570","172","34","3","31","102","101","82","107","8","7","3","",".301",".394",".533",".927",".390","147","","5.2","","18.1","5361"
"Yasmani Grandal","CHW","124","506","412","96","16","1","27","72","69","84","123","4","1","0","",".234",".366",".470",".836",".361","131","","5.0","","102.0","11368"
"Ronald Acuña Jr.","ATL","122","538","458","130","24","2","33","97","79","68","133","8","25","6","",".284",".384",".566",".950",".399","148","","5.0","","13.5","18401"
"Alex Bregman","HOU","141","607","516","138","31","2","24","82","79","77","79","7","2","1","",".268",".368",".475",".844",".361","133","","5.0","","88.6","17678"
"Will Smith","LAD","129","513","441","114","23","2","28","75","81","56","109","11","2","1","",".259",".353",".511",".864",".365","131","","5.0","","53.7","19197"
"Xander Bogaerts","BOS","149","638","564","162","34","2","27","90","86","62","117","5","4","1","",".287",".360",".496",".856",".364","128","","4.9","","46.3","12161"
"Wander Franco","TBR","145","622","562","165","34","6","17","80","75","50","64","4","9","3","",".294",".353",".465",".818",".349","128","","4.9","","59.3","23667"
"Aaron Judge","NYY","145","625","535","146","25","1","38","95","95","80","165","6","4","2","",".274",".373",".537",".910",".385","147","","4.8","","36.2","15640"
"Rafael Devers","BOS","150","648","581","162","36","2","37","95","100","57","135","5","6","2","",".279",".347",".538",".885",".371","132","","4.8","","13.6","17350"
"Brandon Lowe","TBR","141","595","519","131","28","2","34","83","93","64","162","8","6","2","",".252",".342",".510",".852",".360","135","","4.7","","77.8","18882"
"Marcus Semien","TEX","150","665","591","154","31","2","33","92","90","64","131","3","10","3","",".260",".334",".490",".824",".351","124","","4.7","","39.8","12533"
"Jose Altuve","HOU","140","626","557","158","29","2","26","88","82","58","92","6","8","3","",".284",".355",".483",".838",".358","131","","4.6","","74.8","5417"
"Manny Machado","SDP","151","649","576","158","29","2","33","88","95","63","105","3","11","3","",".274",".345",".500",".846",".356","126","","4.5","","22.6","11493"
"Shohei Ohtani","LAA","143","603","514","138","26","4","40","102","97","80","172","5","24","7","",".269",".371",".566",".938",".390","149","","4.5","","8.5","19755"
"J.T. Realmuto","PHI","140","579","515","138","26","3","23","80","72","48","134","10","12","3","",".267",".338",".461",".799",".342","112","","4.5","","50.2","11739"
"Carlos Correa","MIN","146","616","540","147","31","1","24","81","77","66","116","4","0","0","",".273",".355",".466",".821",".352","124","","4.5","","98.8","14162"
"Corey Seager","TEX","132","566","499","142","30","2","23","76","75","58","98","5","1","0","",".284",".362",".492",".854",".364","133","","4.5","","78.9","13624"
"Byron Buxton","MIN","128","520","474","129","29","4","31","84","77","35","129","6","17","4","",".272",".329",".550",".879",".368","135","","4.5","","42.5","14161"
"Bo Bichette","TOR","150","646","594","171","38","3","26","92","84","42","128","5","16","5","",".288",".338",".491",".829",".352","120","","4.4","","4.5","19612"
"Nolan Arenado","STL","152","645","578","154","29","2","34","83","93","56","94","4","2","1","",".267",".332",".500",".832",".349","122","","4.3","","70.1","9777"
"Francisco Lindor","NYM","147","644","568","146","28","2","27","85","84","62","110","6","15","5","",".257",".334",".453",".787",".336","115","","4.2","","52.8","12916"
"Trevor Story","BOS","147","632","563","148","34","3","30","93","84","56","157","7","18","5","",".263",".335",".494",".829",".351","119","","4.2","","33.5","12564"
"Luis Robert","CHW","142","608","553","154","32","3","27","87","81","41","145","10","14","4","",".278",".337",".495",".833",".354","126","","4.2","","15.8","20043"
"Anthony Rendon","LAA","133","575","492","132","29","1","23","74","75","70","90","7","1","0","",".267",".363",".471",".834",".356","126","","4.1","","110.0","12861"
"Bryan Reynolds","PIT","150","632","555","161","33","5","23","83","85","64","124","7","4","1","",".289",".367",".491",".858",".365","129","","4.1","","93.0","19326"
"Matt Olson","ATL","149","643","547","146","29","1","40","98","100","80","126","10","3","1","",".268",".368",".543",".911",".382","137","","4.0","","35.8","14344"
"Ozzie Albies","ATL","148","646","588","162","34","6","28","96","84","47","118","5","20","4","",".276",".332",".498",".831",".350","117","","4.0","","17.6","16556"
"Pete Alonso","NYM","152","649","564","149","28","2","39","92","105","65","139","14","2","1","",".264",".352",".525",".876",".369","137","","3.9","","45.8","19251"
"Kyle Tucker","HOU","149","609","543","144","33","4","28","87","84","56","115","4","16","4","",".265",".337",".499",".835",".352","126","","3.8","","12.2","18345"
"Justin Turner","LAD","131","544","476","134","27","1","22","77","77","50","90","13","2","0","",".281",".362",".484",".846",".363","129","","3.7","","148.3","5235"
"Joey Gallo","NYY","142","591","483","105","18","1","41","90","96","97","200","7","4","1","",".216",".353",".514",".868",".366","135","","3.7","","181.6","14128"
"Yordan Alvarez","HOU","144","610","533","147","31","2","34","87","97","67","148","6","2","1","",".276",".360",".534",".894",".375","142","","3.7","","25.1","19556"
"Jorge Polanco","MIN","145","632","572","155","31","4","26","86","80","48","114","5","9","3","",".271",".329",".477",".806",".343","118","","3.7","","79.3","13152"
"Ketel Marte","ARI","142","608","548","158","33","4","21","81","81","50","92","5","6","2","",".288",".351",".479",".831",".354","119","","3.6","","78.4","13613"
"Austin Riley","ATL","146","607","546","150","30","2","32","86","88","47","155","8","1","0","",".274",".339",".511",".850",".359","122","","3.5","","52.4","18360"
"Paul Goldschmidt","STL","151","659","574","156","28","2","28","91","83","74","138","5","7","2","",".272",".358",".473",".831",".356","127","","3.5","","47.4","9218"
"George Springer","TOR","135","596","518","135","23","2","32","87","83","65","127","8","4","2","",".260",".350",".497",".847",".361","127","","3.5","","57.3","12856"
"Jonathan India","CIN","148","638","551","144","31","3","23","88","76","66","148","17","9","3","",".262",".356",".454",".809",".350","113","","3.5","","92.1","21523"
"Brandon Nimmo","NYM","123","521","434","115","23","4","13","73","52","72","108","11","7","3","",".264",".381",".423",".805",".354","127","","3.4","","333.3","12927"
"Josh Donaldson","NYY","127","533","452","111","20","1","27","73","70","73","121","5","1","0","",".245",".354",".471",".825",".355","127","","3.4","","181.1","5038"
"Yoán Moncada","CHW","143","617","534","138","28","4","21","82","70","72","161","6","5","2","",".259",".352",".441",".792",".343","119","","3.4","","158.5","17232"
"Tim Anderson","CHW","141","624","587","168","30","2","21","84","75","29","133","4","19","6","",".287",".323",".451",".774",".331","111","","3.4","","30.0","15172"
"Fernando Tatis Jr.","SDP","77","331","290","82","16","2","24","57","57","35","89","3","13","3","",".284",".366",".594",".960",".399","154","","3.4","","62.8","19709"
"Javier Báez","DET","144","588","546","142","26","4","30","79","82","31","174","6","14","4","",".261",".306",".485",".792",".333","111","","3.4","","63.1","12979"
