"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Corbin Burnes","MIL","28","29","169.0","14","8","11","0","0","134","59","17","213","53","1.11","11.33","2.84","3.15","3.06","","4.9","4.6","","9.9","19361"
"Gerrit Cole","NYY","30","30","188.0","15","9","14","0","0","152","71","28","244","51","1.08","11.66","2.43","3.41","3.39","","4.8","4.5","","7.0","13125"
"Zack Wheeler","PHI","29","29","183.0","14","8","14","0","0","164","69","19","183","49","1.17","9.01","2.43","3.41","3.46","","4.7","4.4","","35.4","10310"
"Brandon Woodruff","MIL","31","31","182.0","14","9","13","0","0","159","72","22","196","53","1.16","9.73","2.61","3.57","3.61","","4.3","4.0","","19.6","16162"
"Shane Bieber","CLE","28","28","174.0","12","9","14","0","0","151","70","23","214","56","1.19","11.07","2.91","3.62","3.52","","4.1","3.7","","30.9","19427"
"Max Scherzer","NYM","28","28","168.0","13","9","13","0","0","132","67","26","214","51","1.09","11.42","2.72","3.56","3.70","","4.0","3.7","","18.8","3137"
"Carlos Rodón","SFG","25","26","145.0","10","8","10","0","0","117","56","15","181","53","1.17","11.24","3.27","3.47","3.27","","4.0","3.3","","95.8","16137"
"Aaron Nola","PHI","30","31","181.0","14","9","13","0","0","160","74","25","196","50","1.16","9.74","2.51","3.67","3.77","","3.8","3.6","","42.4","16149"
"Logan Webb","SFG","29","29","165.0","12","10","11","0","0","159","67","13","150","53","1.28","8.20","2.90","3.68","3.51","","3.7","3.4","","67.1","17995"
"Julio Urías","LAD","30","31","173.0","14","8","10","0","0","156","73","23","169","47","1.17","8.78","2.42","3.77","3.86","","3.7","3.3","","31.9","14765"
"Eduardo Rodriguez","DET","31","32","178.0","11","12","12","0","0","166","77","21","178","60","1.27","9.01","3.04","3.88","3.81","","3.7","3.2","","142.4","13164"
"Jacob deGrom","NYM","16","16","100.0","8","4","8","0","0","69","30","10","145","30","0.98","13.03","2.65","2.67","2.59","","3.6","3.5","","59.7","10954"
"Sandy Alcantara","MIA","30","31","191.0","12","11","13","0","0","178","82","22","172","59","1.24","8.12","2.77","3.86","3.97","","3.5","3.4","","42.5","18684"
"Lucas Giolito","CHW","31","31","182.0","13","10","13","0","0","156","81","29","208","63","1.20","10.24","3.09","3.99","4.12","","3.4","3.0","","38.9","15474"
"Walker Buehler","LAD","31","31","188.0","15","8","13","0","0","167","81","26","183","55","1.18","8.78","2.64","3.85","4.02","","3.4","3.4","","16.9","19374"
"Nathan Eovaldi","BOS","29","29","165.0","11","10","11","0","0","160","75","23","164","41","1.22","8.94","2.25","4.07","3.88","","3.4","2.5","","126.8","9132"
"José Berríos","TOR","31","31","188.0","13","10","13","0","0","172","83","26","184","56","1.22","8.82","2.71","4.00","4.10","","3.3","3.1","","76.3","14168"
"Freddy Peralta","MIL","29","30","160.0","13","9","11","0","0","128","68","23","194","65","1.21","10.94","3.65","3.81","3.95","","3.3","3.0","","51.8","18679"
"Max Fried","ATL","30","31","178.0","13","10","12","0","0","173","79","20","168","58","1.30","8.52","2.93","4.00","3.91","","3.3","2.9","","67.6","13743"
"Frankie Montas","OAK","31","31","179.0","11","13","14","0","0","163","80","24","189","63","1.26","9.50","3.18","4.01","4.01","","3.2","3.0","","91.1","14309"
"Kevin Gausman","TOR","30","30","174.0","12","10","11","0","0","160","80","28","198","53","1.22","10.21","2.76","4.13","4.02","","3.2","2.6","","71.3","14107"
"Sean Manaea","SDP","29","29","165.0","12","11","12","0","0","157","75","24","164","44","1.22","8.95","2.38","4.08","4.05","","3.1","2.5","","131.8","15873"
"Robbie Ray","SEA","30","30","177.0","12","11","14","0","0","147","81","30","224","74","1.25","11.37","3.74","4.11","4.20","","3.0","2.6","","47.8","11486"
"Luis Severino","NYY","23","26","131.0","10","7","9","0","1","119","53","17","137","34","1.17","9.45","2.37","3.68","3.64","","3.0","2.6","","176.6","15890"
"Trevor Rogers","MIA","30","30","158.0","10","12","10","0","0","149","74","20","174","63","1.34","9.90","3.60","4.23","3.95","","2.9","2.1","","89.1","22286"
"Justin Verlander","HOU","24","24","139.0","10","8","9","0","0","109","57","25","171","39","1.06","11.05","2.50","3.66","3.97","","2.9","2.9","","80.4","8700"
"Jordan Montgomery","NYY","30","30","159.0","12","10","10","0","0","150","71","23","158","51","1.26","8.96","2.86","4.05","4.08","","2.9","2.6","","206.4","16511"
"Dylan Cease","CHW","31","31","168.0","11","10","12","0","0","144","79","26","204","74","1.30","10.92","3.94","4.21","4.18","","2.9","2.3","","78.5","18525"
"Joe Musgrove","SDP","30","31","174.0","12","11","12","0","0","158","80","25","181","60","1.26","9.37","3.11","4.15","4.21","","2.9","2.5","","68.7","12970"
"Shane McClanahan","TBR","28","28","151.0","10","10","9","0","0","139","67","20","165","55","1.28","9.82","3.25","3.99","3.89","","2.9","2.4","","103.8","21483"
"Charlie Morton","ATL","27","27","152.0","12","8","10","0","0","137","67","19","164","55","1.27","9.76","3.29","3.95","3.94","","2.8","2.6","","88.7","4676"
"Framber Valdez","HOU","28","29","172.0","12","9","12","0","0","161","71","17","155","68","1.33","8.08","3.57","3.70","4.00","","2.8","3.4","","142.2","17295"
"Pablo López","MIA","26","27","145.0","10","10","10","0","0","138","65","18","141","46","1.27","8.75","2.85","4.02","3.97","","2.7","2.3","","137.3","17085"
"Sonny Gray","MIN","29","29","162.0","11","10","10","0","0","148","74","19","158","65","1.32","8.81","3.61","4.10","4.11","","2.7","2.5","","154.6","12768"
"Shohei Ohtani","LAA","25","30","138.0","10","8","9","0","0","114","57","19","160","55","1.23","10.41","3.58","3.73","3.97","","2.6","2.7","","8.4","19755"
"Logan Gilbert","SEA","28","28","156.0","9","10","11","0","0","142","73","26","160","45","1.20","9.22","2.61","4.20","4.26","","2.6","2.2","","149.0","22250"
"Clayton Kershaw","LAD","22","23","130.0","10","6","8","0","0","114","54","21","138","32","1.13","9.59","2.25","3.72","3.95","","2.6","2.6","","133.5","2036"
"Alek Manoah","TOR","28","28","158.0","11","8","12","0","0","133","70","24","172","58","1.21","9.83","3.31","3.98","4.27","","2.5","2.7","","88.5","26410"
"Chris Bassitt","NYM","29","29","168.0","11","11","12","0","0","155","78","25","159","55","1.25","8.54","2.94","4.20","4.40","","2.5","2.3","","118.6","12304"
"Noah Syndergaard","LAA","25","25","138.0","9","9","10","0","0","136","66","19","124","38","1.26","8.08","2.50","4.30","4.06","","2.4","1.8","","192.9","11762"
"Yu Darvish","SDP","29","29","167.0","11","11","12","0","0","150","81","30","181","53","1.22","9.76","2.86","4.39","4.46","","2.4","2.0","","93.9","13074"
"Jon Gray","TEX","30","31","169.0","10","11","12","0","0","162","83","25","163","62","1.32","8.66","3.28","4.40","4.40","","2.4","2.0","","222.0","14916"
"Marcus Stroman","CHC","30","30","171.0","10","12","11","0","0","179","83","21","134","57","1.38","7.03","3.01","4.39","4.29","","2.4","2.0","","187.9","13431"
"Alex Wood","SFG","26","26","139.0","8","9","10","0","0","138","66","17","132","48","1.34","8.57","3.10","4.26","4.07","","2.3","1.9","","211.6","13781"
"Bailey Ober","MIN","26","27","135.0","10","9","8","0","0","126","63","23","132","34","1.19","8.83","2.24","4.19","4.25","","2.3","1.9","","252.8","21224"
"Blake Snell","SDP","26","26","149.0","9","9","11","0","0","131","70","21","177","72","1.36","10.71","4.34","4.26","4.19","","2.3","2.0","","116.7","13543"
"Michael Kopech","CHW","20","25","126.0","8","7","8","0","1","108","57","18","155","51","1.26","11.09","3.66","4.08","4.03","","2.3","1.9","","155.3","17282"
"Hyun Jin Ryu","TOR","28","28","159.0","11","10","10","0","0","162","76","23","130","45","1.30","7.34","2.55","4.30","4.36","","2.3","1.9","","210.5","14444"
"Luis Castillo","CIN","27","27","161.0","11","10","12","0","0","152","74","22","155","64","1.34","8.66","3.58","4.14","4.30","","2.3","2.4","","133.9","15689"
"Zac Gallen","ARI","28","28","161.0","9","10","12","0","0","153","78","24","158","61","1.33","8.85","3.41","4.37","4.41","","2.2","2.0","","176.4","19291"
"John Means","BAL","29","29","164.0","10","12","11","0","0","163","82","31","145","40","1.24","7.96","2.22","4.50","4.69","","2.2","1.8","","215.1","16269"
"Joe Ryan","MIN","25","25","134.0","9","9","7","0","0","120","62","23","140","38","1.18","9.38","2.55","4.19","4.31","","2.2","1.9","","204.9","21390"
"Brady Singer","KCR","28","28","157.0","9","10","12","0","0","160","78","19","137","61","1.41","7.87","3.48","4.45","4.35","","2.2","1.7","","500.8","25377"
"Ian Anderson","ATL","28","29","154.0","11","9","11","0","0","147","73","20","143","62","1.35","8.34","3.63","4.24","4.37","","2.2","2.0","","150.5","19951"
"Germán Márquez","COL","30","30","178.0","9","12","10","0","0","194","97","26","161","62","1.44","8.17","3.16","4.90","4.41","","2.2","1.0","","265.4","15038"
"Jameson Taillon","NYY","26","26","137.0","10","9","8","0","0","130","66","22","129","42","1.26","8.46","2.79","4.35","4.42","","2.1","1.6","","301.9","11674"
"Lance Lynn","CHW","21","21","121.0","9","7","9","0","0","109","55","18","128","40","1.23","9.53","3.01","4.08","4.17","","2.1","1.9","","94.3","2520"
"Alex Cobb","SFG","25","25","144.0","8","9","11","0","0","149","73","17","123","55","1.42","7.70","3.45","4.53","4.24","","2.1","1.4","","228.7","6562"
"Chris Sale","BOS","17","17","99.0","7","5","7","0","0","87","43","14","118","31","1.20","10.74","2.87","3.90","3.79","","2.1","1.8","","147.7","10603"
"Luis Garcia","HOU","28","28","155.0","10","10","9","0","0","134","72","26","164","61","1.26","9.57","3.57","4.20","4.50","","2.1","2.2","","135.3","23735"
"Ranger Suárez","PHI","26","28","146.0","10","8","9","0","0","143","67","19","122","50","1.33","7.56","3.09","4.16","4.31","","2.1","2.1","","178.3","17277"
"Anthony DeSclafani","SFG","29","29","159.0","10","12","10","0","0","161","81","24","135","52","1.34","7.61","2.96","4.60","4.54","","2.1","1.5","","211.8","13050"
"Tyler Mahle","CIN","30","30","172.0","10","11","13","0","0","165","87","30","176","64","1.33","9.22","3.37","4.53","4.64","","2.0","1.7","","132.7","16358"
"Marco Gonzales","SEA","29","29","171.0","11","12","13","0","0","174","88","29","131","49","1.30","6.90","2.58","4.60","4.80","","2.0","1.5","","349.0","15467"
"Tanner Houck","BOS","24","29","131.0","9","9","8","0","1","125","64","17","135","54","1.36","9.25","3.69","4.39","4.23","","2.0","1.5","","198.3","19879"
"Tarik Skubal","DET","30","30","162.0","9","12","12","0","0","157","84","29","170","56","1.31","9.44","3.11","4.65","4.58","","2.0","1.4","","185.9","22267"
"Patrick Sandoval","LAA","25","26","142.0","9","8","10","0","0","134","67","21","143","56","1.34","9.09","3.56","4.24","4.35","","2.0","1.9","","184.7","19447"
"José Quintana","PIT","25","30","137.0","8","11","10","0","0","136","68","19","127","51","1.37","8.39","3.36","4.50","4.36","","1.9","1.4","","583.3","11423"
"Adam Wainwright","STL","27","28","169.0","10","11","13","0","0","173","85","25","132","53","1.34","7.00","2.85","4.52","4.63","","1.9","1.7","","187.2","2233"
"Josiah Gray","WSN","27","27","144.0","8","11","7","0","0","131","69","26","136","46","1.23","8.52","2.90","4.34","4.72","","1.9","1.8","","299.8","24580"
"Steven Matz","STL","28","28","154.0","9","10","11","0","0","152","75","22","134","54","1.34","7.84","3.16","4.38","4.51","","1.9","1.8","","251.9","13361"
"Cole Irvin","OAK","29","30","168.0","8","13","11","0","0","176","86","26","115","44","1.31","6.16","2.38","4.61","4.73","","1.9","1.5","","551.5","19244"
"Luis Patiño","TBR","19","24","123.0","7","7","6","0","6","108","56","18","120","48","1.27","8.77","3.50","4.11","4.39","","1.9","1.8","","312.0","22815"
"Kyle Hendricks","CHC","30","31","181.0","9","13","12","0","0","198","97","29","121","44","1.34","6.02","2.18","4.81","4.82","","1.9","1.2","","301.6","12049"
"Antonio Senzatela","COL","29","29","164.0","9","12","9","0","0","193","92","21","100","45","1.45","5.51","2.45","5.08","4.57","","1.9","0.7","","588.0","15488"
"Chris Flexen","SEA","30","31","176.0","10","12","12","0","0","185","92","29","136","50","1.33","6.98","2.57","4.68","4.68","","1.9","1.4","","429.0","13896"
"Drew Rasmussen","TBR","22","27","121.0","8","7","9","0","1","113","56","16","118","46","1.32","8.78","3.45","4.15","4.20","","1.9","1.7","","274.5","25385"
"Mike Clevinger","SDP","19","23","112.0","7","6","9","0","1","103","53","17","119","42","1.29","9.55","3.35","4.25","4.20","","1.9","1.5","","186.7","12808"
"Brad Keller","KCR","26","27","150.0","8","10","11","0","0","158","76","17","113","61","1.45","6.79","3.64","4.54","4.47","","1.9","1.5","","582.8","15734"
"Jack Flaherty","STL","19","19","113.0","7","6","9","0","0","99","50","16","115","41","1.24","9.11","3.28","3.95","4.27","","1.8","1.9","","187.4","17479"
"Zach Eflin","PHI","24","25","140.0","9","8","9","0","0","145","69","23","115","34","1.29","7.43","2.20","4.46","4.49","","1.8","1.5","","420.8","13774"
"José Urquidy","HOU","26","26","137.0","10","9","9","0","0","133","67","24","118","37","1.24","7.79","2.42","4.43","4.63","","1.7","1.5","","211.6","18413"
"Dane Dunning","TEX","26","26","130.0","8","10","8","0","0","127","63","17","113","47","1.35","7.88","3.29","4.38","4.43","","1.7","1.6","","513.1","19409"
"JT Brubaker","PIT","27","27","144.0","8","12","8","0","0","144","74","22","130","51","1.36","8.09","3.17","4.64","4.64","","1.7","1.2","","543.0","17578"
"Zack Greinke","KCR","27","27","161.0","9","12","10","0","0","175","85","26","111","40","1.34","6.23","2.25","4.74","4.75","","1.7","1.2","","309.9","1943"
"Shane Baz","TBR","19","19","97.0","7","7","6","0","0","85","43","15","103","35","1.23","9.57","3.23","3.98","4.21","","1.6","1.7","","183.3","22264"
"Casey Mize","DET","30","30","158.0","8","12","11","0","0","159","82","24","126","52","1.34","7.19","2.98","4.68","4.73","","1.6","1.3","","260.0","20492"
"Kyle Gibson","PHI","30","31","180.0","12","11","13","0","0","185","94","28","151","70","1.42","7.56","3.51","4.69","4.82","","1.6","1.5","","408.3","10123"
"Liam Hendriks","CHW","0","66","67.0","3","2","0","33","1","51","22","9","99","15","0.98","13.33","2.07","2.98","2.64","","1.6","1.3","","31.2","3548"
"Ryan Yarbrough","TBR","22","25","142.0","8","9","9","0","0","146","73","24","100","34","1.27","6.37","2.15","4.64","4.87","","1.6","1.2","","547.7","16502"
