division,tm,w,l,points
AL East,BAL,67,95,95
NL West,LAD,94,68,94
NL West,COL,69,93,93
NL Central,PIT,69,93,93
AL East,TOR,92,70,92
NL West,ARI,70,92,92
AL East,NYY,91,71,91
AL West,OAK,72,90,90
AL West,HOU,89,73,89
NL West,SDP,88,74,88
NL Central,MIL,88,74,88
NL Central,CHC,74,88,88
AL East,BOS,87,75,87
AL Central,KCR,75,87,87
AL West,TEX,75,87,87
NL Central,CIN,75,87,87
AL Central,CHW,86,76,86
AL East,TBR,86,76,86
AL Central,DET,76,86,86
AL Central,CLE,77,85,85
NL West,SFG,84,78,84
AL West,LAA,83,79,83
AL West,SEA,79,83,83
AL Central,MIN,82,80,82
NL Central,STL,81,81,81
