league,division,tm,g,w,l,wp
AL,Central,DET,162,86,76,0.529
AL,Central,CLE,162,84,78,0.518
AL,Central,CLE,162,84,78,0.518
AL,Central,CLE,162,84,78,0.518
AL,Central,CHW,162,83,79,0.515
AL,Central,MIN,162,82,80,0.505
AL,Central,KCR,162,77,85,0.472
AL,East,TOR,162,99,63,0.613
AL,East,NYY,162,97,65,0.597
AL,East,TBR,162,92,70,0.569
AL,East,BOS,162,89,73,0.549
AL,East,BAL,162,64,98,0.396
AL,West,HOU,162,97,65,0.599
AL,West,SEA,162,78,84,0.483
AL,West,TEX,162,75,87,0.463
AL,West,LAA,162,75,87,0.461
AL,West,LAA,162,75,87,0.461
AL,West,LAA,162,75,87,0.461
AL,West,OAK,162,69,93,0.423
NL,Central,MIL,162,80,82,0.495
NL,Central,STL,162,80,82,0.495
NL,Central,CIN,162,76,86,0.471
NL,Central,CHC,162,68,94,0.419
NL,Central,PIT,162,65,97,0.399
NL,East,ATL,162,99,63,0.614
NL,East,NYM,162,87,75,0.535
NL,East,PHI,162,77,85,0.477
NL,East,MIA,162,72,90,0.442
NL,East,WSN,162,69,93,0.423
NL,West,LAD,162,105,57,0.648
NL,West,LAD,162,105,57,0.648
NL,West,SDP,162,95,67,0.585
NL,West,SFG,162,84,78,0.516
NL,West,ARI,162,72,90,0.442
NL,West,COL,162,60,102,0.371
