tm,r_running_adj,ra_running_adj,year,g,w,l,w_l_percent,r_g,ra_g,baseruns_proj,r_2020,h_proj,ba_proj,obp_proj,slg_proj,iso_proj,baseruns_a,ra_2020,ha,ba_a,obp_a,slg_a,iso_a,r_2021,ra_2021,hits_per_run,hits_a_per_run,runs_exp,runs_a_exp,war_proj,war,baseruns,r,h,ba,obp,slg,iso,war_adj,war_diff,wp_diff,pyth_old,r_exponent,ra_exponent,ra
LAD,941.3,603.38,2020,60,43,17,0.717,5.8,3.6,345,349,523,0.256,0.338,0.483,0.22699999999999998,210,213,424,0.213,0.272,0.355,0.142,942.3,575.1,1.4846869079839995,2.1738159486159994,348.63141100239176,202.52435579239068,30.1,12.4,345,-48.26,523,0.256,0.338,0.483,0.22699999999999998,33.48,-3.3799999999999955,-0.02086419753086417,0.6929246133642809,251244.082241952,134991.95055987278,32.61
TBR,783.8499999999999,583.25,2020,60,40,20,0.667,4.8,3.8,296,289,470,0.238,0.328,0.425,0.187,248,229,475,0.238,0.305,0.391,0.15300000000000002,780.3,618.3,1.6512728987039997,2.0129985704799997,290.3144534040615,241.983193571453,19,9.5,296,-70.67,470,0.238,0.328,0.425,0.187,25.65,-6.649999999999999,-0.041049382716049375,0.632033670143119,166475.42422083116,136965.24519384195,57.8
SDP,856.67,669.6400000000001,2020,60,37,23,0.617,5.4,4,323,325,506,0.257,0.333,0.466,0.20900000000000002,241,241,456,0.234,0.301,0.389,0.155,877.5,650.7,1.6240220775039993,2.0090777004480005,317.28605950286226,233.98490899538564,23,12.7,323,-123.9,506,0.257,0.333,0.466,0.20900000000000002,34.29,-11.29,-0.06969135802469135,0.6108179952765137,174942.69171903966,197443.45732784073,113.22
MIN,720.63,558.65,2020,60,36,24,0.6,4.5,3.6,273,269,468,0.242,0.315,0.427,0.185,230,215,448,0.232,0.301,0.372,0.13999999999999999,726.3,580.5,1.7944593863199993,2.0722895378480004,266.90139096147345,223.09300337085912,25.5,9.4,273,1.23,468,0.242,0.315,0.427,0.185,25.38,0.120000000000001,7.407407407407469e-4,0.6144183055531346,170204.86615393247,106146.931901199,-0.95
OAK,694.65,612.77,2020,60,36,24,0.6,4.6,3.9,261,274,430,0.225,0.322,0.396,0.171,245,232,471,0.24,0.302,0.392,0.15200000000000002,739.8,626.4,1.6958741807359994,2.0559194812559993,257.27827308314306,237.04728755044857,20.7,9.7,261,-49.93,430,0.225,0.322,0.396,0.171,26.19,-5.490000000000002,-0.0338888888888889,0.5571283836667349,138405.91859915035,144554.49703960202,47.45
ATL,973.57,807.0600000000001,2020,60,35,25,0.583,5.8,4.8,359,348,556,0.268,0.349,0.483,0.21499999999999997,285,288,494,0.247,0.329,0.408,0.16099999999999998,939.6,777.6,1.535225286752,1.8352231142719995,360.5809152239479,277.08854025930276,23.4,11.1,359,-83.98,556,0.268,0.349,0.483,0.21499999999999997,29.97,-6.57,-0.04055555555555556,0.5849812837155118,249469.2992836454,246225.19708139103,76.19
CHW,820.22,683.51,2020,60,35,25,0.583,5.1,4.1,310,306,534,0.261,0.326,0.453,0.192,242,246,448,0.226,0.309,0.379,0.153,826.2,664.2,1.794515178008,1.900746111472,303.7867047724741,238.8484589015032,21.6,13.6,310,-152.49,534,0.261,0.326,0.453,0.192,36.72,-15.119999999999997,-0.09333333333333332,0.5826511752758738,147578.63326575956,224415.15530858983,156.09
CLE,649.94,534.06,2020,60,35,25,0.583,4.1,3.5,246,248,446,0.228,0.317,0.372,0.144,225,209,440,0.223,0.288,0.378,0.155,669.6,564.3,1.8943322069360002,2.042714532224,240.71958433874318,220.1998261526419,17.7,6.9,246,-8.35,446,0.228,0.317,0.372,0.144,18.63,-0.9299999999999997,-0.005740740740740739,0.5888856206926303,137176.94315501783,100407.63785434907,6.95
CHC,673.56,647.59,2020,60,34,26,0.567,4.4,4,253,265,422,0.22,0.318,0.387,0.167,247,240,451,0.233,0.302,0.4,0.167,715.5,648,1.715913311024,1.9330945850559997,249.4665849926196,240.15233648847425,18,8.6,253,-45.82,422,0.22,0.318,0.387,0.167,23.22,-5.219999999999999,-0.032222222222222215,0.5179808219582174,131805.24878413702,158735.8958046986,47.27
NYY,827.77,771.21,2020,60,33,27,0.55,5.3,4.5,304,315,473,0.247,0.342,0.447,0.2,261,270,455,0.236,0.305,0.421,0.185,850.5,729,1.5299319994159997,1.8366382986399996,306.5820337703087,254.3676119127321,27.7,9.7,304,17.13,473,0.247,0.342,0.447,0.2,26.19,1.509999999999998,0.009320987654320975,0.5323342049561574,227016.04275738503,185030.84150470138,-15.64
TOR,797.4399999999999,855.4399999999999,2020,60,32,28,0.533,5,5.2,303,302,516,0.255,0.325,0.441,0.186,311,312,517,0.255,0.339,0.436,0.181,815.4,842.4,1.79354890748,1.7043459699519996,295.3488791267472,307.1710835460715,25.7,5.6,303,122.55,516,0.255,0.325,0.441,0.186,15.12,10.58,0.06530864197530864,0.46792333236118905,265290.6648813446,178769.03060601698,-113.95
STL,606.76,687.75,2020,58,30,28,0.517,4.1,3.9,221,240,410,0.234,0.323,0.371,0.13699999999999998,215,229,376,0.216,0.306,0.38,0.164,670.34,639.62,1.920602627664,1.8030155968079997,217.23733183908968,211.76975802806646,16.9,7.6,221,-35.12,410,0.234,0.323,0.371,0.13699999999999998,21.23,-4.330000000000002,-0.026728395061728406,0.4429286837982304,111054.58603605806,173733.07388781826,42.25
MIA,659.46,807.8599999999999,2020,60,31,29,0.517,4.4,5.1,253,263,472,0.244,0.319,0.384,0.14,310,304,506,0.261,0.343,0.455,0.194,710.1,820.8,2.004315903512,1.6450550025839998,244.24591000673914,308.79424979869714,10.700000000000001,3.7,253,6.56,472,0.244,0.319,0.384,0.14,9.99,0.7100000000000009,0.004382716049382721,0.4081954201949621,146886.2607881283,205380.29616398946,-7.96
CIN,671.39,708.52,2020,60,31,29,0.517,4.1,4.1,252,243,390,0.212,0.312,0.403,0.19100000000000003,230,243,401,0.215,0.303,0.374,0.159,656.1,656.1,1.5897418022559995,1.846454603664,248.6614282415395,223.58647680919918,10.9,5,252,-23.24,390,0.212,0.312,0.403,0.19100000000000003,13.5,-2.5999999999999996,-0.01604938271604938,0.47539353933858897,139753.16861144133,175447.31015310943,25.41
HOU,700.0899999999999,765.91,2020,60,29,31,0.483,4.7,4.6,266,279,478,0.24,0.312,0.408,0.16799999999999998,271,275,472,0.239,0.322,0.407,0.16799999999999998,753.3,742.5,1.8924420670159998,1.8038974422959995,259.2918448948109,266.3278366976447,28.3,5.7,266,133.52,478,0.24,0.312,0.408,0.16799999999999998,15.39,12.91,0.07969135802469136,0.45898336455180094,221495.34786781,137819.99977312316,-122.68
