tm,r,ra
LAD,892.77,623.0799999999999
TBR,712.99,623.12
SDP,732.62,674.97
MIN,721.63,655
OAK,644.52,684.9
ATL,889.55,754.88
CHW,667.64,669.3000000000001
CLE,641.48,666.3299999999999
CHC,627.51,708.3800000000001
NYY,844.75,718.44
TOR,919.8399999999999,763.61
STL,571.6,657.6899999999999
MIA,665.99,738.04
CIN,647.73,822.8499999999999
HOU,833.4,802.43
SFG,694.02,850.36
MIL,682.91,872.4100000000001
PHI,812.67,841.5100000000001
SEA,607.2399999999999,813.48
NYM,810.8600000000001,769.7700000000001
COL,683.82,936.65
KCR,647.51,724.17
LAA,796.4599999999999,965.34
WSN,877.85,641.6800000000001
BAL,736.4399999999999,950.31
ARI,670.64,654.11
BOS,837.7,728.07
DET,600.83,841.7
TEX,616.9699999999999,824.09
PIT,586.66,820.83
