tm,wp,r,ra,r_diff,r_g,ra_g
LAD,0.646,872.645,628.019,244.627,5.387,3.877
ATL,0.613,824.794,641.575,183.219,5.091,3.96
TOR,0.612,786.02,612.912,173.109,4.852,3.783
HOU,0.598,821.494,661.791,159.703,5.071,4.085
NYY,0.596,828.184,669.344,158.84,5.112,4.132
SDP,0.584,758.848,629.937,128.911,4.684,3.888
TBR,0.568,767.434,660.727,106.707,4.737,4.079
BOS,0.548,849.57,764.796,84.774,5.244,4.721
NYM,0.535,701.007,649.347,51.659,4.327,4.008
DET,0.529,743.081,697.411,45.67,4.587,4.305
CLE,0.518,724.328,696.536,27.792,4.471,4.3
SFG,0.517,648.696,625.623,23.072,4.004,3.862
CHW,0.515,742.295,718.61,23.685,4.582,4.436
MIN,0.504,784.272,777.07,7.202,4.841,4.797
MIL,0.496,658.205,664.663,-6.458,4.063,4.103
STL,0.495,678.638,686.091,-7.453,4.189,4.235
SEA,0.483,736.195,763.841,-27.647,4.544,4.715
PHI,0.477,735.055,773.045,-37.989,4.537,4.772
KCR,0.472,764.497,812.015,-47.518,4.719,5.012
CIN,0.472,733.464,780.588,-47.124,4.528,4.818
TEX,0.463,724.033,784.971,-60.938,4.469,4.846
LAA,0.461,779.065,849.156,-70.09,4.809,5.242
MIA,0.443,626.406,710.172,-83.767,3.867,4.384
ARI,0.443,719.603,816.189,-96.586,4.442,5.038
OAK,0.425,615.079,725.607,-110.528,3.797,4.479
WSN,0.424,684.483,809.768,-125.285,4.225,4.999
CHC,0.42,658.185,785.339,-127.154,4.063,4.848
PIT,0.401,622.113,775.122,-153.009,3.84,4.785
BAL,0.396,775.254,976.282,-201.028,4.786,6.026
COL,0.373,656.554,872.472,-215.917,4.053,5.386
