tm,r,ra
LAD,771.2,628.1999999999999
TBR,727.5,716.1
SDP,634.1,625.4
MIN,773.2,740.6
OAK,565.1,802.9
ATL,738.3,658.4
CHW,629.8,613.7
CLE,677.7,805.1
CHC,584.8000000000001,763.2
NYY,739.1,573.7
TOR,942.8,623.9
STL,557.7,509.9
MIA,660.1,729.4
CIN,510,707.9
HOU,811.1,722
SFG,643.9000000000001,714.3
MIL,709.2,739.7
PHI,683.7,810.4
SEA,630.3,653.9
NYM,711,701.1
COL,764.8,888.5
KCR,638,751.7
LAA,752.5,698.3
WSN,924.9,741
BAL,792.2,801
ARI,752.7,659.6
BOS,795.3,689.3
DET,722.8000000000001,741.1
TEX,677.4,638.8
PIT,647.7,648.9
